Distance,Z_fondale,Z_AUV
3148.31818214852,-24.1045429506486,-21.1052670461709
3155.10335064453,-24.1003501394576,-21.1010890453503
3161.88851914054,-24.0961573282666,-21.0968984598411
3168.67368763655,-24.0919914006922,-21.0927288267067
3175.45885613256,-24.0880691722206,-21.0887694186069
3182.24402462857,-24.0843995136964,-21.08505621692
3189.02919312458,-24.0809490195943,-21.081566243488
3195.81436162059,-24.0776986428521,-21.0782798604889
3202.5995301166,-24.0746418852701,-21.0751885951191
3209.38469861261,-24.0717841385651,-21.0722957555544
3216.16986710862,-24.0691432324287,-21.0696169892133
3222.95503560463,-24.0667511453456,-21.0671818203705
3229.74020410064,-24.0646147108937,-21.0650004925304
3236.52537259665,-24.0625183452838,-21.0628913589149
3243.31054109266,-24.0604219796739,-21.0607930745469
3250.09570958867,-24.0583256126383,-21.0586964193773
3256.88087808468,-24.0562292359284,-21.0566000008209
3263.66604658069,-24.0541328497003,-21.0545036097345
3270.4512150767,-24.0520364551842,-21.0524072157338
3277.23638357271,-24.0499400530688,-21.0503108148379
3284.02155206872,-24.047843643568,-21.0482144066302
3290.80672056473,-24.0457472264417,-21.0461179908442
3297.59188906074,-24.0436508009724,-21.0440215668301
3304.37705755675,-24.041554365896,-21.0419251334161
3311.16222605276,-24.0394579214283,-21.0398286906096
3317.94739454877,-24.0373614758472,-21.0377322454454
3324.73256304478,-24.035265030266,-21.0356357999269
3331.51773154079,-24.0332181078047,-21.0335814352096
3338.3029000368,-24.0314327785652,-21.0317556756931
3345.08806853281,-24.0298940119471,-21.030173780182
3351.87323702882,-24.0285707038872,-21.0288116119601
3358.65840552483,-24.0274457728345,-21.027651029236
3365.44357402084,-24.0265145114384,-21.0266853057501
3372.22874251685,-24.0257841074544,-21.0259195382791
3379.01391101286,-24.0252743713502,-21.0253713261377
3385.79907950886,-24.0250196058734,-21.0250724619048
3392.58424800487,-24.0249996185303,-21.0250105653312
3399.36941650088,-24.0249996185303,-21.0250012636003
3406.15458499689,-24.0249996185303,-21.0249998657491
3412.9397534929,-24.0249996185303,-21.024999655682
3419.72492198891,-24.0249996185303,-21.0249996241134
3426.51009048492,-24.0249996185303,-21.0249996193693
3433.29525898093,-24.0249996185303,-21.0249996186564
3440.08042747694,-24.0249996185303,-21.0249996185492
3446.86559597295,-24.0249996185303,-21.0249996185331
3453.65076446896,-24.0249996185303,-21.0249996185307
3460.43593296497,-24.0249996185303,-21.0249996185303
3467.22110146098,-24.0249996185303,-21.0249996185303
3474.00626995699,-24.0249996185303,-21.0249996185303
3480.791438453,-24.0249996185303,-21.0249996185303
3487.57660694901,-24.0249996185303,-21.0249996185303
3494.36177544502,-24.0249996185303,-21.0249996185303
3501.14694394103,-24.0249996185303,-21.0249996185303
3507.93211243704,-24.0249996185303,-21.0249996185303
3514.71728093305,-24.0249996185303,-21.0249996185303
3521.50244942906,-24.0249996185303,-21.0249996185303
3528.28761792507,-24.0249996185303,-21.0249996185303
3535.07278642108,-24.0249996185303,-21.0249996185303
3541.85795491709,-24.0249996185303,-21.0249996185303
3548.6431234131,-24.0249996185303,-21.0249996185303
3555.42829190911,-24.0249996185303,-21.0249996185303
3562.21346040512,-24.0249996185303,-21.0249996185303
3568.99862890113,-24.0249996185303,-21.0249996185303
3575.78379739714,-24.0249996185303,-21.0249996185303
3582.56896589315,-24.0249996185303,-21.0249996185303
3589.35413438916,-24.0249996185303,-21.0249996185303
3596.13930288517,-24.0249996185303,-21.0249996185303
3602.92447138118,-24.0249996185303,-21.0249996185303
3609.70963987719,-24.0249996185303,-21.0249996185303
3616.4948083732,-24.0249996185303,-21.0249996185303
3623.27997686921,-24.0249996185303,-21.0249996185303
3630.06514536522,-24.0249996185303,-21.0249996185303
3636.85031386123,-24.0249996185303,-21.0249996185303
3643.63548235724,-24.0249996185303,-21.0249996185303
3650.42065085325,-24.0249996185303,-21.0249996185303
3657.20581934926,-24.0249996185303,-21.0249996185303
3663.99098784526,-24.0249996185303,-21.0249996185303
3670.77615634127,-24.0249996185303,-21.0249996185303
3677.56132483728,-24.0249996185303,-21.0249996185303
3684.34649333329,-24.0249996185303,-21.0249996185303
3691.1316618293,-24.0249996185303,-21.0249996185303
3697.91683032531,-24.0249996185303,-21.0249996185303
3704.70199882132,-24.0249996185303,-21.0249996185303
3711.48716731733,-24.0249996185303,-21.0249996185303
3718.27233581334,-24.0249996185303,-21.0249996185303
3725.05750430935,-24.0249996185303,-21.0249996185303
3731.84267280536,-24.0249996185303,-21.0249996185303
3738.62784130137,-24.0249996185303,-21.0249996185303
3745.41300979738,-24.0249996185303,-21.0249996185303
3752.19817829339,-24.0249996185303,-21.0249996185303
3758.9833467894,-24.0249996185303,-21.0249996185303
3765.76851528541,-24.0249996185303,-21.0249996185303
3772.55368378142,-24.0249996185303,-21.0249996185303
3779.33885227743,-24.0249996185303,-21.0249996185303
3786.12402077344,-24.0249996185303,-21.0249996185303
3792.90918926945,-24.0249996185303,-21.0249996185303
3799.69435776546,-24.0249996185303,-21.0249996185303
3806.47952626147,-24.0249996185303,-21.0249996185303
